id,created_at,updated_at,deleted_at,event,device_id,source,source_id,source_topic,payload,duplicate,time
03ed127f-e179-43dc-bca6-180bcc86634d,2025-03-26 12:44:45.328989+00,2025-03-26 12:44:45.328989+00,,error,f92ba7ec-ca8d-4fc7-91b3-eb6361498260,service-bus-message-7083c16d-bb17-4317-b053-78bc71959429,f97b94d6-2a75-49fa-8d2e-bb0bafbae428,v/s/200028-3133510D-35323938,"{""u"":""f6c9cb90-7a2e-4c28-b231-9e24c9044518"",""t"":1741886541,""cnt"":1,""ev"":""error"",""s"":2147549471,""a"":134520581,""v"":536886785,""c"":287,""f"":""mbed_retarget.cpp"",""l"":1789,""rc"":1,""tid"":536887492,""tea"":134504273,""tsz"":4096,""tsm"":536883360,""tsp"":536886640}",f,2025-03-26 12:44:44.326328+00
2233cdbd-f1c9-43ac-889e-0b59b43267df,2025-03-26 12:44:44.157695+00,2025-03-26 12:44:44.157695+00,,error,f92ba7ec-ca8d-4fc7-91b3-eb6361498260,service-bus-message-40257483-a768-4147-8292-d0f563703dee,2f66b8a3-2a18-4320-ad0f-67095c701673,v/s/200028-3133510D-35323938,"{""u"":""596bc9c2-851f-4f20-8834-8af3dfe2db50"",""t"":18446744073709551615,""cnt"":1,""ev"":""error"",""s"":2147549471,""a"":134520581,""v"":536886785,""c"":287,""f"":""mbed_retarget.cpp"",""l"":1789,""rc"":1,""tid"":536887492,""tea"":134504273,""tsz"":4096,""tsm"":536883360,""tsp"":536886640}",f,2025-03-26 12:44:43.154057+00
